design,stage,substep,arm,repeat,call,setup_s,hold_s,passes,last_improving_iter,wns_start_ps,wns_end_ps,endpoints,substep_wall_s,result_sha1,loadavg_at_start,recorded_at
jpeg,floorplan,2_1_floorplan,base-p0067,3,floorplan_setup,81.64,,3615,3584,-84.892,-66.716,410,93.78999999999999,ec3c632bb48bfd979389,0.96,2026-09-11T18:07:19
jpeg,floorplan,2_1_floorplan,base-p006700680069,1,floorplan_setup,79.71,,3615,3584,-84.892,-66.716,410,91.78999999999999,ec3c632bb48bfd979389,1.00,2026-09-12T01:27:06
jpeg,floorplan,2_1_floorplan,base-p006700680069,2,floorplan_setup,80.62,,3615,3584,-84.892,-66.716,410,92.66,ec3c632bb48bfd979389,0.93,2026-09-12T01:29:16
jpeg,floorplan,2_1_floorplan,base-p006700680069,3,floorplan_setup,82.42,,3615,3584,-84.892,-66.716,410,94.5,ec3c632bb48bfd979389,0.98,2026-09-12T01:31:44
jpeg,floorplan,2_1_floorplan,base-p0068,1,floorplan_setup,109.12,,3615,3584,-84.892,-66.716,410,121.42,ec3c632bb48bfd979389,0.80,2026-09-11T20:45:36
jpeg,floorplan,2_1_floorplan,base-p0068,2,floorplan_setup,106.94,,3615,3584,-84.892,-66.716,410,119.14,ec3c632bb48bfd979389,0.98,2026-09-11T20:47:59
jpeg,floorplan,2_1_floorplan,base-p0068,3,floorplan_setup,106.99,,3615,3584,-84.892,-66.716,410,119.22,ec3c632bb48bfd979389,0.81,2026-09-11T20:51:06
jpeg,floorplan,2_1_floorplan,base-p0069,1,floorplan_setup,106.86,,3615,3584,-84.892,-66.716,410,119.0,ec3c632bb48bfd979389,0.99,2026-09-11T23:07:46
jpeg,floorplan,2_1_floorplan,base-p0069,2,floorplan_setup,106.45,,3615,3584,-84.892,-66.716,410,118.5,ec3c632bb48bfd979389,0.99,2026-09-11T23:10:07
jpeg,floorplan,2_1_floorplan,base-p0069,3,floorplan_setup,106.2,,3615,3584,-84.892,-66.716,410,118.16,ec3c632bb48bfd979389,0.88,2026-09-11T23:12:58
jpeg,floorplan,2_1_floorplan,base-prof,1,floorplan_setup,106.9,,3615,3584,-84.892,-66.716,410,118.9,ec3c632bb48bfd979389,0.83,2026-09-10T23:57:51
jpeg,floorplan,2_1_floorplan,base-prof,2,floorplan_setup,107.15,,3615,3584,-84.892,-66.716,410,119.07,ec3c632bb48bfd979389,0.97,2026-09-11T16:12:45
jpeg,floorplan,2_1_floorplan,base-prof,3,floorplan_setup,108.54,,3615,3584,-84.892,-66.716,410,120.63,ec3c632bb48bfd979389,1.00,2026-09-11T16:15:23
jpeg,grt,5_1_grt,base,1,setup_hold,222.07,0.32,2700,2370,-110.195,-102.732,619,331.77,bf18ad0bd58d52295185,0.94,2026-09-10T21:58:47
jpeg,grt,5_1_grt,base,1,post_grt_wns,2.25,,1,0,-104.071,-104.071,607,331.77,bf18ad0bd58d52295185,0.94,2026-09-10T21:58:47
jpeg,grt,5_1_grt,base-p0067,1,setup_hold,197.2,0.32,2700,2370,-110.195,-102.732,619,307.29,bf18ad0bd58d52295185,0.92,2026-09-11T18:33:41
jpeg,grt,5_1_grt,base-p0067,1,post_grt_wns,2.11,,1,0,-104.071,-104.071,607,307.29,bf18ad0bd58d52295185,0.92,2026-09-11T18:33:41
jpeg,grt,5_1_grt,base-p0067,2,setup_hold,195.65,0.32,2700,2370,-110.195,-102.732,619,307.27,bf18ad0bd58d52295185,0.86,2026-09-11T18:42:04
jpeg,grt,5_1_grt,base-p0067,2,post_grt_wns,2.09,,1,0,-104.071,-104.071,607,307.27,bf18ad0bd58d52295185,0.86,2026-09-11T18:42:04
jpeg,grt,5_1_grt,base-p0067,3,setup_hold,195.02,0.32,2700,2370,-110.195,-102.732,619,305.49,bf18ad0bd58d52295185,0.82,2026-09-11T18:50:10
jpeg,grt,5_1_grt,base-p0067,3,post_grt_wns,2.1,,1,0,-104.071,-104.071,607,305.49,bf18ad0bd58d52295185,0.82,2026-09-11T18:50:10
jpeg,grt,5_1_grt,base-p006700680069,1,setup_hold,231.64,0.32,3000,2760,-110.195,-102.732,619,342.65,87c2b5c6c912e6400939,0.93,2026-09-12T01:58:57
jpeg,grt,5_1_grt,base-p006700680069,1,post_grt_wns,2.1,,1,0,-104.071,-104.071,606,342.65,87c2b5c6c912e6400939,0.93,2026-09-12T01:58:57
jpeg,grt,5_1_grt,base-p006700680069,2,setup_hold,226.14,0.32,3000,2760,-110.195,-102.732,619,336.11,8dfc24a95bd492cfb2b2,0.80,2026-09-12T02:07:34
jpeg,grt,5_1_grt,base-p006700680069,2,post_grt_wns,2.1,,1,0,-104.071,-104.071,606,336.11,8dfc24a95bd492cfb2b2,0.80,2026-09-12T02:07:34
jpeg,grt,5_1_grt,base-p006700680069,3,setup_hold,230.19,0.32,3000,2760,-110.195,-102.732,619,340.76,8dfc24a95bd492cfb2b2,1.00,2026-09-12T02:16:15
jpeg,grt,5_1_grt,base-p006700680069,3,post_grt_wns,2.11,,1,0,-104.071,-104.071,606,340.76,8dfc24a95bd492cfb2b2,1.00,2026-09-12T02:16:15
jpeg,grt,5_1_grt,base-p0068,1,setup_hold,218.15,0.32,2700,2370,-110.195,-102.732,619,327.41,bf18ad0bd58d52295185,0.82,2026-09-11T21:19:40
jpeg,grt,5_1_grt,base-p0068,1,post_grt_wns,2.19,,1,0,-104.071,-104.071,607,327.41,bf18ad0bd58d52295185,0.82,2026-09-11T21:19:40
jpeg,grt,5_1_grt,base-p0068,2,setup_hold,217.52,0.32,2700,2370,-110.195,-102.732,619,326.76,bf18ad0bd58d52295185,0.91,2026-09-11T21:28:07
jpeg,grt,5_1_grt,base-p0068,2,post_grt_wns,2.18,,1,0,-104.071,-104.071,607,326.76,bf18ad0bd58d52295185,0.91,2026-09-11T21:28:07
jpeg,grt,5_1_grt,base-p0068,3,setup_hold,218.99,0.32,2700,2370,-110.195,-102.732,619,329.73,bf18ad0bd58d52295185,0.99,2026-09-11T21:36:37
jpeg,grt,5_1_grt,base-p0068,3,post_grt_wns,2.2,,1,0,-104.071,-104.071,607,329.73,bf18ad0bd58d52295185,0.99,2026-09-11T21:36:37
jpeg,grt,5_1_grt,base-p0069,1,setup_hold,255.73,0.32,3000,2760,-110.195,-102.732,619,366.48,8dfc24a95bd492cfb2b2,0.83,2026-09-11T23:40:39
jpeg,grt,5_1_grt,base-p0069,1,post_grt_wns,2.18,,1,0,-104.071,-104.071,606,366.48,8dfc24a95bd492cfb2b2,0.83,2026-09-11T23:40:39
jpeg,grt,5_1_grt,base-p0069,2,setup_hold,250.15,0.32,3000,2760,-110.195,-102.732,619,360.74,8dfc24a95bd492cfb2b2,0.84,2026-09-11T23:49:41
jpeg,grt,5_1_grt,base-p0069,2,post_grt_wns,2.17,,1,0,-104.071,-104.071,606,360.74,8dfc24a95bd492cfb2b2,0.84,2026-09-11T23:49:41
jpeg,grt,5_1_grt,base-p0069,3,setup_hold,250.38,0.32,3000,2760,-110.195,-102.732,619,361.86,8dfc24a95bd492cfb2b2,0.89,2026-09-11T23:58:43
jpeg,grt,5_1_grt,base-p0069,3,post_grt_wns,2.25,,1,0,-104.071,-104.071,606,361.86,8dfc24a95bd492cfb2b2,0.89,2026-09-11T23:58:43
jpeg,grt,5_1_grt,base-prof,1,setup_hold,216.71,0.32,2700,2370,-110.195,-102.732,619,326.1,bf18ad0bd58d52295185,0.92,2026-09-11T00:16:48
jpeg,grt,5_1_grt,base-prof,1,post_grt_wns,2.17,,1,0,-104.071,-104.071,607,326.1,bf18ad0bd58d52295185,0.92,2026-09-11T00:16:48
jpeg,grt,5_1_grt,base-prof,2,setup_hold,226.44,0.32,2700,2370,-110.195,-102.732,619,336.39,bf18ad0bd58d52295185,0.93,2026-09-11T12:13:31
jpeg,grt,5_1_grt,base-prof,2,post_grt_wns,2.25,,1,0,-104.071,-104.071,607,336.39,bf18ad0bd58d52295185,0.93,2026-09-11T12:13:31
jpeg,grt,5_1_grt,base-prof,3,setup_hold,219.79,0.32,2700,2370,-110.195,-102.732,619,332.26,bf18ad0bd58d52295185,0.90,2026-09-11T12:22:19
jpeg,grt,5_1_grt,base-prof,3,post_grt_wns,2.23,,1,0,-104.071,-104.071,607,332.26,bf18ad0bd58d52295185,0.90,2026-09-11T12:22:19
jpeg,grt,5_1_grt,noclone-prof,1,setup_hold,246.38,0.32,2900,2060,-110.195,-101.986,619,356.72,726ea445b4d0ebd66304,0.97,2026-09-11T13:43:38
jpeg,grt,5_1_grt,noclone-prof,1,post_grt_wns,2.2,,1,0,-103.284,-103.284,610,356.72,726ea445b4d0ebd66304,0.97,2026-09-11T13:43:38
jpeg,grt,5_1_grt,noclone-prof,2,setup_hold,248.28,0.32,2900,2060,-110.195,-101.986,619,359.46,c5c85e78c1260c582478,0.90,2026-09-11T13:52:38
jpeg,grt,5_1_grt,noclone-prof,2,post_grt_wns,2.2,,1,0,-103.284,-103.284,610,359.46,c5c85e78c1260c582478,0.90,2026-09-11T13:52:38
jpeg,grt,5_1_grt,noclone-prof,3,setup_hold,252.36,0.32,2900,2060,-110.195,-101.986,619,363.56,c5c85e78c1260c582478,0.94,2026-09-11T14:01:42
jpeg,grt,5_1_grt,noclone-prof,3,post_grt_wns,2.21,,1,0,-103.284,-103.284,610,363.56,c5c85e78c1260c582478,0.94,2026-09-11T14:01:42
jpeg,grt,5_1_grt,nogasp-prof,1,setup_hold,182.76,0.32,2500,2370,-110.195,-102.732,619,293.90999999999997,6ce0f87a6da941d5e488,0.98,2026-09-11T13:19:07
jpeg,grt,5_1_grt,nogasp-prof,1,post_grt_wns,2.19,,1,0,-104.063,-104.063,608,293.90999999999997,6ce0f87a6da941d5e488,0.98,2026-09-11T13:19:07
jpeg,grt,5_1_grt,nogasp-prof,2,setup_hold,182.96,0.31,2500,2370,-110.195,-102.732,619,293.82,6ce0f87a6da941d5e488,0.81,2026-09-11T13:27:02
jpeg,grt,5_1_grt,nogasp-prof,2,post_grt_wns,2.19,,1,0,-104.063,-104.063,608,293.82,6ce0f87a6da941d5e488,0.81,2026-09-11T13:27:02
jpeg,grt,5_1_grt,nogasp-prof,3,setup_hold,182.56,0.31,2500,2370,-110.195,-102.732,619,293.5,6ce0f87a6da941d5e488,0.80,2026-09-11T13:34:56
jpeg,grt,5_1_grt,nogasp-prof,3,post_grt_wns,2.17,,1,0,-104.063,-104.063,608,293.5,6ce0f87a6da941d5e488,0.80,2026-09-11T13:34:56
jpeg,grt,5_1_grt,nopostwns-prof,1,setup_hold,219.78,0.32,2700,2370,-110.195,-102.732,619,328.54,6003ad129983befcd713,0.97,2026-09-11T15:39:23
jpeg,grt,5_1_grt,nopostwns-prof,2,setup_hold,216.29,0.32,2700,2370,-110.195,-102.732,619,324.92,0182b7abff8eea3d3492,0.85,2026-09-11T15:47:48
jpeg,grt,5_1_grt,nopostwns-prof,3,setup_hold,218.9,0.32,2700,2370,-110.195,-102.732,619,328.0,6003ad129983befcd713,0.95,2026-09-11T15:56:02
jpeg,grt,5_1_grt,nounbuf-prof,1,setup_hold,186.54,0.31,2500,2210,-110.195,-102.732,619,296.99,49c3185dba04f5853a15,0.78,2026-09-11T14:09:40
jpeg,grt,5_1_grt,nounbuf-prof,1,post_grt_wns,2.23,,1,0,-104.472,-104.472,610,296.99,49c3185dba04f5853a15,0.78,2026-09-11T14:09:40
jpeg,grt,5_1_grt,nounbuf-prof,2,setup_hold,187.34,0.32,2500,2210,-110.195,-102.732,619,297.56,49c3185dba04f5853a15,0.87,2026-09-11T14:17:38
jpeg,grt,5_1_grt,nounbuf-prof,2,post_grt_wns,2.2,,1,0,-104.472,-104.472,610,297.56,49c3185dba04f5853a15,0.87,2026-09-11T14:17:38
jpeg,grt,5_1_grt,nounbuf-prof,3,setup_hold,187.92,0.32,2500,2210,-110.195,-102.732,619,298.87,49c3185dba04f5853a15,0.98,2026-09-11T14:25:22
jpeg,grt,5_1_grt,nounbuf-prof,3,post_grt_wns,2.2,,1,0,-104.472,-104.472,610,298.87,49c3185dba04f5853a15,0.98,2026-09-11T14:25:22
jpeg,grt,5_1_grt,tns20-prof,1,setup_hold,217.1,0.32,2700,2370,-110.195,-102.732,619,328.44,bf18ad0bd58d52295185,0.89,2026-09-11T12:30:48
jpeg,grt,5_1_grt,tns20-prof,1,post_grt_wns,2.21,,1,0,-104.071,-104.071,607,328.44,bf18ad0bd58d52295185,0.89,2026-09-11T12:30:48
jpeg,grt,5_1_grt,tns20-prof,2,setup_hold,224.91,0.32,2700,2370,-110.195,-102.732,619,336.40999999999997,bf18ad0bd58d52295185,0.97,2026-09-11T12:39:25
jpeg,grt,5_1_grt,tns20-prof,2,post_grt_wns,2.18,,1,0,-104.071,-104.071,607,336.40999999999997,bf18ad0bd58d52295185,0.97,2026-09-11T12:39:25
jpeg,grt,5_1_grt,tns5-prof,1,setup_hold,110.15,0.32,1200,950,-110.195,-102.732,619,219.9,6c362e259efa9eaff469,0.80,2026-09-11T12:58:21
jpeg,grt,5_1_grt,tns5-prof,1,post_grt_wns,2.19,,1,0,-103.967,-103.967,612,219.9,6c362e259efa9eaff469,0.80,2026-09-11T12:58:21
jpeg,grt,5_1_grt,tns5-prof,2,setup_hold,110.25,0.32,1200,950,-110.195,-102.732,619,220.6,6c362e259efa9eaff469,0.81,2026-09-11T13:05:03
jpeg,grt,5_1_grt,tns5-prof,2,post_grt_wns,2.18,,1,0,-103.967,-103.967,612,220.6,6c362e259efa9eaff469,0.81,2026-09-11T13:05:03
jpeg,grt,5_1_grt,tns5-prof,3,setup_hold,110.23,0.31,1200,950,-110.195,-102.732,619,219.69,6c362e259efa9eaff469,0.95,2026-09-11T13:11:28
jpeg,grt,5_1_grt,tns5-prof,3,post_grt_wns,2.17,,1,0,-103.967,-103.967,612,219.69,6c362e259efa9eaff469,0.95,2026-09-11T13:11:28
jpeg_lvt,cts,4_1_cts,base,1,setup_hold,1.62,0.31,0,,,,,31.86,e7adc973d7ce821e00c2,0.89,2026-09-10T22:02:42
jpeg_lvt,floorplan,2_1_floorplan,base,1,floorplan_setup,0.36,,0,,,,,12.41,e90ce24809fd3089783b,0.82,2026-09-10T22:02:09
jpeg_lvt,grt,5_1_grt,base,1,setup_hold,1.35,0.46,0,,,,,86.89,0714b114d977ef39de5c,0.80,2026-09-10T22:05:25
jpeg_lvt,grt,5_1_grt,base,1,post_grt_wns,1.3,,0,,,,,86.89,0714b114d977ef39de5c,0.80,2026-09-10T22:05:25
mock-alu,cts,4_1_cts,base,1,setup_hold,61.21,0.03,1488,1095,-294.849,-275.769,526,72.57,355e96339e1a2cf11c1e,0.89,2026-09-10T21:20:44
mock-alu,cts,4_1_cts,base-p0067,1,setup_hold,56.31,0.03,1488,1095,-294.849,-275.769,526,67.75,355e96339e1a2cf11c1e,0.88,2026-09-11T17:05:53
mock-alu,cts,4_1_cts,base-p0067,2,setup_hold,56.32,0.03,1488,1095,-294.849,-275.769,526,67.83,355e96339e1a2cf11c1e,0.82,2026-09-11T17:08:31
mock-alu,cts,4_1_cts,base-p0067,3,setup_hold,56.55,0.03,1488,1095,-294.849,-275.769,526,68.12,355e96339e1a2cf11c1e,0.94,2026-09-11T17:10:25
mock-alu,cts,4_1_cts,base-p006700680069,1,setup_hold,55.1,0.03,1488,1095,-294.849,-275.769,526,66.44,355e96339e1a2cf11c1e,0.95,2026-09-12T00:32:33
mock-alu,cts,4_1_cts,base-p006700680069,2,setup_hold,55.86,0.03,1488,1095,-294.849,-275.769,526,67.39,355e96339e1a2cf11c1e,0.97,2026-09-12T00:34:11
mock-alu,cts,4_1_cts,base-p006700680069,3,setup_hold,55.05,0.03,1488,1095,-294.849,-275.769,526,66.48,355e96339e1a2cf11c1e,0.99,2026-09-12T00:36:03
mock-alu,cts,4_1_cts,base-p0068,1,setup_hold,61.88,0.04,1488,1095,-294.849,-275.769,526,73.46000000000001,355e96339e1a2cf11c1e,0.81,2026-09-11T19:44:28
mock-alu,cts,4_1_cts,base-p0068,2,setup_hold,61.97,0.03,1488,1095,-294.849,-275.769,526,73.57,355e96339e1a2cf11c1e,0.90,2026-09-11T19:45:57
mock-alu,cts,4_1_cts,base-p0068,3,setup_hold,61.74,0.03,1488,1095,-294.849,-275.769,526,73.24,355e96339e1a2cf11c1e,0.94,2026-09-11T19:48:26
mock-alu,cts,4_1_cts,base-p0069,1,setup_hold,63.18,0.03,1488,1095,-294.849,-275.769,526,74.71000000000001,355e96339e1a2cf11c1e,0.81,2026-09-11T22:09:31
mock-alu,cts,4_1_cts,base-p0069,2,setup_hold,61.39,0.03,1488,1095,-294.849,-275.769,526,72.73,355e96339e1a2cf11c1e,0.80,2026-09-11T22:11:44
mock-alu,cts,4_1_cts,base-p0069,3,setup_hold,60.86,0.03,1488,1095,-294.849,-275.769,526,72.19,355e96339e1a2cf11c1e,0.90,2026-09-11T22:13:27
mock-alu,cts,4_1_cts,base-prof,1,setup_hold,61.34,0.03,1488,1095,-294.849,-275.769,526,72.8,355e96339e1a2cf11c1e,0.79,2026-09-11T00:25:22
mock-alu,cts,4_1_cts,base-prof,2,setup_hold,61.44,0.03,1488,1095,-294.849,-275.769,526,72.86,355e96339e1a2cf11c1e,0.93,2026-09-11T05:10:30
mock-alu,cts,4_1_cts,base-prof,3,setup_hold,61.61,0.03,1488,1095,-294.849,-275.769,526,73.18,355e96339e1a2cf11c1e,0.82,2026-09-11T05:13:14
mock-alu,cts,4_1_cts,footprint-prof,1,setup_hold,61.97,0.03,1488,1095,-294.849,-275.769,526,73.46000000000001,355e96339e1a2cf11c1e,0.92,2026-09-11T05:49:33
mock-alu,cts,4_1_cts,footprint-prof,2,setup_hold,61.92,0.03,1488,1095,-294.849,-275.769,526,73.58,355e96339e1a2cf11c1e,0.86,2026-09-11T05:51:47
mock-alu,cts,4_1_cts,footprint-prof,3,setup_hold,62.52,0.03,1488,1095,-294.849,-275.769,526,74.09,355e96339e1a2cf11c1e,0.81,2026-09-11T05:54:16
mock-alu,cts,4_1_cts,noclone-prof,1,setup_hold,62.03,0.03,1654,1266,-294.849,-270.987,526,73.58,a447da462ef7d7a5acda,0.89,2026-09-11T05:34:34
mock-alu,cts,4_1_cts,noclone-prof,2,setup_hold,62.27,0.03,1654,1266,-294.849,-270.987,526,73.96000000000001,a447da462ef7d7a5acda,0.94,2026-09-11T05:36:48
mock-alu,cts,4_1_cts,noclone-prof,3,setup_hold,61.05,0.03,1654,1266,-294.849,-270.987,526,72.65,a447da462ef7d7a5acda,0.84,2026-09-11T05:39:01
mock-alu,cts,4_1_cts,nogasp-prof,1,setup_hold,49.6,0.03,1300,1095,-294.849,-276.912,526,61.21,d23e5e84fa22c76bf128,0.87,2026-09-11T05:28:46
mock-alu,cts,4_1_cts,nogasp-prof,2,setup_hold,49.54,0.03,1300,1095,-294.849,-276.912,526,61.18,d23e5e84fa22c76bf128,0.80,2026-09-11T05:30:32
mock-alu,cts,4_1_cts,nogasp-prof,3,setup_hold,50.22,0.03,1300,1095,-294.849,-276.912,526,61.84,d23e5e84fa22c76bf128,0.92,2026-09-11T05:32:20
mock-alu,cts,4_1_cts,nounbuf-prof,1,setup_hold,63.59,0.03,1698,1493,-294.849,-275.769,526,75.15,e508dd5d5c7a0b1df3a8,0.95,2026-09-11T05:41:32
mock-alu,cts,4_1_cts,nounbuf-prof,2,setup_hold,63.99,0.04,1698,1493,-294.849,-275.769,526,75.65,e508dd5d5c7a0b1df3a8,0.86,2026-09-11T05:43:48
mock-alu,cts,4_1_cts,nounbuf-prof,3,setup_hold,63.59,0.03,1698,1493,-294.849,-275.769,526,75.22,e508dd5d5c7a0b1df3a8,0.90,2026-09-11T05:46:34
mock-alu,cts,4_1_cts,tns20-prof,1,setup_hold,60.72,0.03,1200,952,-294.849,-275.769,526,72.21000000000001,494c52a8efefb0b22eb9,0.80,2026-09-11T05:14:56
mock-alu,cts,4_1_cts,tns20-prof,2,setup_hold,61.95,0.03,1200,952,-294.849,-275.769,526,73.53999999999999,494c52a8efefb0b22eb9,0.79,2026-09-11T05:17:40
mock-alu,cts,4_1_cts,tns20-prof,3,setup_hold,62.26,0.03,1200,952,-294.849,-275.769,526,73.87,494c52a8efefb0b22eb9,0.95,2026-09-11T05:20:25
mock-alu,cts,4_1_cts,tns5-prof,1,setup_hold,59.49,0.03,1042,320,-294.849,-275.789,526,71.07,61bcd0930b5ef9e53096,0.79,2026-09-11T05:22:51
mock-alu,cts,4_1_cts,tns5-prof,2,setup_hold,59.32,0.03,1042,320,-294.849,-275.789,526,70.84,61bcd0930b5ef9e53096,1.00,2026-09-11T05:24:48
mock-alu,cts,4_1_cts,tns5-prof,3,setup_hold,59.34,0.03,1042,320,-294.849,-275.789,526,70.93,61bcd0930b5ef9e53096,0.84,2026-09-11T05:27:14
mock-alu,floorplan,2_1_floorplan,base,1,floorplan_setup,28.01,,1300,1056,-1595.866,-1367.762,1121,31.06,9c04717fcac71859d38c,0.79,2026-09-10T21:19:30
mock-alu,floorplan,2_1_floorplan,base-p0067,1,floorplan_setup,18.0,,1300,1056,-1595.866,-1367.762,1121,21.08,9c04717fcac71859d38c,0.94,2026-09-11T17:00:26
mock-alu,floorplan,2_1_floorplan,base-p0067,2,floorplan_setup,18.32,,1300,1056,-1595.866,-1367.762,1121,21.42,9c04717fcac71859d38c,0.92,2026-09-11T17:01:23
